;Sol. 0;Sol. 1;Sol. 2;Sol. 3;Sol. 4;Sol. 5;Sol. 6;Sol. 7;Sol. 8;Sol. 9;Sol. 10;Sol. 11;Sol. 12;Sol. 13;Sol. 14;Sol. 15;Sol. 16;Sol. 17;Sol. 18;Sol. 19;
Sol. 0;146231;70682.2;76352.8;97468.8;86659.2;1384.88;71918.5;125562;23380.6;78544.5;14705.3;87981.7;110483;59598.5;104711;47429.8;13772.5;15774.8;28757.1;104069;
Sol. 1;;115287;73779.7;67475.3;54156.5;5266.4;63263.6;90224.3;55889.4;71732.4;20754.9;88179.9;83555.3;32692.7;90733.4;36669.2;28925.1;34334.8;61260.8;48314.6;
Sol. 2;;;104465;132739;106741;4140.96;62729.7;133142;30168.4;96686;19233.5;62179.2;129920;45029.3;124256;68942.4;8089.09;26819.1;44543.7;85251.7;
Sol. 3;;;;241917;185226;3012.96;63469.3;207425;-14261.5;124424;14769.3;47621.3;211483;101067;216902;124651;-21234.5;34874;47418.5;147472;
Sol. 4;;;;;158112;2292.55;63610;164050;4640.92;100860;-507.775;50566.7;174394;65751.1;161044;99959.3;-16253.2;25842.4;33980.5;120086;
Sol. 5;;;;;;559.164;2610.32;2941.99;3818.98;2935.05;96.7955;3500.13;3247.49;68.1482;3125.15;2057.83;1258.28;2368.98;3187.04;1780.05;
Sol. 6;;;;;;;81344;76149.6;54117.8;67436.9;-5085.41;87064.7;85803.2;16228.1;64830.7;51920.2;9469.31;13319;25531.8;43196.3;
Sol. 7;;;;;;;;240773;694.846;138671;31175.5;68148.1;196701;87254.1;192064;115742;-495.281;40765.1;61416.5;132566;
Sol. 8;;;;;;;;;80318.1;30416.1;-7317.19;71010.2;21995.8;-27703.4;-3453.13;2515.44;25584.5;12827.3;25306.1;-6278.11;
Sol. 9;;;;;;;;;;105470;21204.5;71555.6;127797;45445.3;119127;75710.1;14163.7;26519.8;46572.8;74220.4;
Sol. 10;;;;;;;;;;;40303.5;-3421.72;9980.85;10565.4;29906;-5579.89;17886;6199.47;18837.7;1013.98;
Sol. 11;;;;;;;;;;;;119932;88471.2;32638.7;66194.3;42615.2;23450.1;20428.9;44525.7;50250;
Sol. 12;;;;;;;;;;;;;231406;96225;203592;118859;-6250.7;37282.3;62524.9;138802;
Sol. 13;;;;;;;;;;;;;;119804;112406;44483.4;-5622.1;23028.2;35860.2;84644.5;
Sol. 14;;;;;;;;;;;;;;;225555;103496;-9009.3;38726;63382.6;131781;
Sol. 15;;;;;;;;;;;;;;;;100965;-2570.13;23305.1;28492.7;66160.8;
Sol. 16;;;;;;;;;;;;;;;;;38867.3;8720.36;21311.1;-7387.78;
Sol. 17;;;;;;;;;;;;;;;;;;23828.3;29231.1;18924.5;
Sol. 18;;;;;;;;;;;;;;;;;;;50143.8;29284;
Sol. 19;;;;;;;;;;;;;;;;;;;;132719;
