;Sol. 0;Sol. 1;Sol. 2;Sol. 3;Sol. 4;Sol. 5;Sol. 6;Sol. 7;Sol. 8;Sol. 9;Sol. 10;Sol. 11;Sol. 12;Sol. 13;Sol. 14;Sol. 15;Sol. 16;Sol. 17;Sol. 18;Sol. 19;
Sol. 0;112805;65814.3;56247.6;108419;100134;324.406;36108.7;145646;22320.3;34250.8;-19560.6;55651.6;110386;38892.9;96418.7;39870.8;-389.954;458.837;-9932.63;67092.5;
Sol. 1;;82907;42848.1;103590;99035.7;-1793.2;29117.2;119705;-8549.6;30864.2;-5892.11;48013.6;130450;52635.4;98034.7;60410;6737.91;15524;25265;39986.3;
Sol. 2;;;161037;135468;139444;1292.14;70081.4;118158;33786.9;135921;46711.6;44011.9;134507;71924;115258;62064.3;15265.6;26575.4;62670.8;113259;
Sol. 3;;;;229696;219181;-148.887;67112.1;195455;15519.5;100025;31063.7;73620.3;250908;128722;205711;94413.5;10413.7;42264.4;67612.9;126941;
Sol. 4;;;;;226434;-584.108;74425.5;184802;13168.8;110095;34609.7;70402.5;244959;131453;200427;92823.6;7806.28;37357.1;71453.8;134263;
Sol. 5;;;;;;405.717;412.473;-2011.17;2995.98;916.836;1262.81;794.035;-2219.48;-246.087;-590.57;-2435.05;327.418;1097.08;141.327;1810.98;
Sol. 6;;;;;;;60485.3;70693.4;17921.7;67825.5;1644.31;35222.6;54735;4408.34;66201.4;42603;1953.84;507.473;23870.1;29749.2;
Sol. 7;;;;;;;;240969;13152.3;85804.2;-14264;84729.9;216688;73090.5;176514;103949;4342.1;8458.99;22322.1;94106.5;
Sol. 8;;;;;;;;;34964.6;26497.5;5692.91;15727.5;-4579.28;-4482.52;8736.34;-10452.3;2474.74;3093.2;-2443.13;28626.9;
Sol. 9;;;;;;;;;;124323;38819.7;33094.1;92059.3;41103.3;91261.3;52267.8;12228.5;18210.9;57785.8;78274;
Sol. 10;;;;;;;;;;;44733.1;-4511.72;37002.6;51549;22644.7;361.221;9498.5;26375.9;40445.6;48064.6;
Sol. 11;;;;;;;;;;;;47987.8;77129.8;25987.1;65795.2;36139.1;3072.3;7364.48;9545.47;37865.8;
Sol. 12;;;;;;;;;;;;;314059;177005;221171;115144;13222.7;54176;80643.4;149815;
Sol. 13;;;;;;;;;;;;;;158749;102519;36683.7;15980.6;48535.1;59162.8;132805;
Sol. 14;;;;;;;;;;;;;;;192826;87922.3;6711.53;35023.6;63078.8;97587.8;
Sol. 15;;;;;;;;;;;;;;;;71549.5;3824.93;7627.92;32175;28762.4;
Sol. 16;;;;;;;;;;;;;;;;;8288.83;10132.2;13952;15229.3;
Sol. 17;;;;;;;;;;;;;;;;;;30607.6;33073.9;36774;
Sol. 18;;;;;;;;;;;;;;;;;;;63830.3;45381.7;
Sol. 19;;;;;;;;;;;;;;;;;;;;156166;
