;Sol. 0;Sol. 1;Sol. 2;Sol. 3;Sol. 4;Sol. 5;Sol. 6;Sol. 7;Sol. 8;Sol. 9;Sol. 10;Sol. 11;Sol. 12;Sol. 13;Sol. 14;Sol. 15;Sol. 16;Sol. 17;Sol. 18;Sol. 19;
Sol. 0;44027.3;38812.9;56364.4;61809.7;63632.2;756.113;36225.9;63251.4;18511.3;50240.7;9237.56;31973;59334.6;35507.8;59009.9;20536.8;15227;33692.3;34543;54369.7;
Sol. 1;;36458.7;51948;57062.9;58457;693.873;32239.7;58440.1;16434.5;46140;9898.62;28398.2;55130.3;33148.8;54321;18545.2;15408.1;31311.7;32206.5;49458.7;
Sol. 2;;;74902.8;82416.9;84557.8;980.88;46451.1;84299;23510.2;66497.6;13989.6;40826.3;79353.5;47659.6;78425.7;26882.2;21623.5;44672.7;45910.8;71656;
Sol. 3;;;;90895.6;93135.3;1077.8;50929;92903.5;25573.7;73048.3;15454.7;44675.4;87484.9;52199.2;86359.8;29759.6;23558.6;48860.6;50260.4;78658.4;
Sol. 4;;;;;95589.5;1102.79;52317.4;95168.5;26410.4;75037.3;15806.1;45949.8;89625.8;53780.1;88590.3;30383.6;24243.7;50293.6;51684.2;80996.2;
Sol. 5;;;;;;16.4314;631.379;1102.44;352.49;872.032;163.061;560.813;1041.68;583.769;1025.16;330.666;269.342;594.209;612.828;932.178;
Sol. 6;;;;;;;30016.6;52172.1;15272.5;41392;7573.67;26507.7;48984.1;29192.7;48602.6;17079.1;12574.7;27870.8;28606.7;44564.9;
Sol. 7;;;;;;;;95060.5;26293.4;74730.3;15760.4;45776.5;89412.2;53353;88290.6;30354.8;24222.6;49990.2;51424;80373.7;
Sol. 8;;;;;;;;;8730.22;21040.3;3760.17;13632.6;24656.7;14515;24524.1;7672.89;6824.85;14371.4;14727.8;22707.9;
Sol. 9;;;;;;;;;;59116.3;12331.4;36434.4;70342.2;42464.9;69596.4;23810;19250.8;39838.2;40908.6;63776.5;
Sol. 10;;;;;;;;;;;3771.78;6587.7;15031;9491.14;14632.4;4636.81;5084.63;8460.55;8720.04;13253.1;
Sol. 11;;;;;;;;;;;;23462.5;43005.4;25713.5;42694.1;14904.3;11121.3;24655.2;25289.4;39252;
Sol. 12;;;;;;;;;;;;;84321;50384.4;83133;28585.1;22919.9;47231.7;48595.8;75666.6;
Sol. 13;;;;;;;;;;;;;;31539.1;49855;17146.9;14544;28944.5;29659.8;45987;
Sol. 14;;;;;;;;;;;;;;;82145.4;28225.3;22521.7;46684.7;47986;75021.7;
Sol. 15;;;;;;;;;;;;;;;;10848.2;6888.32;15792.5;16253.8;25554.3;
Sol. 16;;;;;;;;;;;;;;;;;7813.85;13399.2;13752.3;20669.3;
Sol. 17;;;;;;;;;;;;;;;;;;27295.5;27995.4;42974.6;
Sol. 18;;;;;;;;;;;;;;;;;;;28733.7;44070.2;
Sol. 19;;;;;;;;;;;;;;;;;;;;69131.8;
